,가격등록일자,품목명,품종명,평균가격,등급명,유통단계별무게,유통단계별단위명,당일최저가격,당일최대가격,가격등록년도
0,2005-01-06,쌀,일반계,44165.0,유기농,10,kg,43330,45000,2005
1,2005-01-06,쌀,일반계,36470.0,무농약,10,kg,30000,41250,2005
2,2005-01-06,쌀,일반계,30482.0,저농약,10,kg,27500,36429,2005
3,2005-01-06,양배추,양배추,3683.0,유기농,1,포기,3000,5500,2005
4,2005-01-06,양배추,양배추,4055.0,무농약,1,포기,2000,6960,2005
5,2005-01-06,시금치,시금치,9360.0,유기농,1,kg,12900,9800,2005
6,2005-01-06,시금치,시금치,8564.0,무농약,1,kg,10000,9800,2005
7,2005-01-06,상추,적,1015.0,유기농,100,g,1180,850,2005
8,2005-01-06,상추,적,890.0,무농약,100,g,610,990,2005
9,2005-01-06,상추,적,950.0,저농약,100,g,950,950,2005
10,2005-01-06,상추,청,1190.0,유기농,100,g,1190,1190,2005
11,2005-01-06,상추,청,972.0,무농약,100,g,1150,990,2005
12,2005-01-06,상추,청,950.0,저농약,100,g,950,950,2005
13,2005-01-06,오이,가시계통,3145.0,무농약,10,개,1090,5200,2005
14,2005-01-06,오이,다다기계통,8500.0,유기농,10,개,8500,8500,2005
15,2005-01-06,오이,다다기계통,8500.0,무농약,10,개,8500,8500,2005
16,2005-01-06,오이,다다기계통,7148.0,저농약,10,개,10420,7900,2005
17,2005-01-06,오이,취청,4450.0,무농약,10,개,1780,7120,2005
18,2005-01-06,호박,애호박,6075.0,무농약,1,개,10710,980,2005
19,2005-01-06,호박,애호박,7190.0,저농약,1,개,7190,7190,2005
20,2005-01-06,토마토,토마토,6000.0,유기농,1,kg,6000,6000,2005
21,2005-01-06,토마토,토마토,12271.0,무농약,1,kg,24900,7800,2005
22,2005-01-06,토마토,토마토,3200.0,저농약,1,kg,3200,3200,2005
23,2005-01-06,딸기,딸기,1000.0,유기농,100,g,1000,1000,2005
24,2005-01-06,딸기,딸기,2591.0,무농약,100,g,1000,1670,2005
25,2005-01-06,딸기,딸기,1446.0,저농약,100,g,1296,1596,2005
26,2005-01-06,당근,무세척,4167.0,유기농,1,kg,3500,5000,2005
27,2005-01-06,당근,무세척,4106.0,무농약,1,kg,2900,5560,2005
28,2005-01-06,당근,무세척,4760.0,저농약,1,kg,4760,4760,2005
29,2005-01-06,당근,세척,3868.0,무농약,1,kg,2400,5160,2005
30,2005-01-06,당근,세척,5160.0,저농약,1,kg,5160,5160,2005
31,2005-01-06,풋고추,풋고추,1238.0,유기농,100,g,1000,1320,2005
32,2005-01-06,풋고추,풋고추,1389.0,무농약,100,g,1000,980,2005
33,2005-01-06,풋고추,풋고추,1320.0,저농약,100,g,1320,1320,2005
34,2005-01-06,풋고추,꽈리고추,1310.0,유기농,100,g,1300,1320,2005
35,2005-01-06,풋고추,꽈리고추,1290.0,무농약,100,g,1040,1500,2005
36,2005-01-06,양파,양파,3197.0,무농약,1,kg,2480,4560,2005
37,2005-01-06,양파,양파,9830.0,저농약,1,kg,9830,9830,2005
38,2005-01-06,파,대파,4633.0,유기농,1,kg,3230,6670,2005
39,2005-01-06,파,대파,6060.0,무농약,1,kg,1000,7300,2005
40,2005-01-06,파,쪽파,10000.0,유기농,1,kg,10000,10000,2005
41,2005-01-06,파,쪽파,4550.0,무농약,1,kg,4550,4550,2005
42,2005-01-06,미나리,미나리,21604.0,무농약,1,kg,10000,9800,2005
43,2005-01-06,깻잎,깻잎,3493.0,유기농,100,g,2600,4500,2005
44,2005-01-06,깻잎,깻잎,3325.0,무농약,100,g,1400,6400,2005
45,2005-01-06,깻잎,깻잎,430.0,저농약,100,g,430,430,2005
46,2005-01-06,팽이버섯,팽이버섯,2677.0,무농약,150,g,1050,641,2005
47,2005-01-06,팽이버섯,팽이버섯,930.0,저농약,150,g,930,930,2005
48,2005-01-06,사과,후지,3590.0,무농약,10,개,1680,5500,2005
49,2005-01-06,사과,후지,6108.0,저농약,10,개,4600,7900,2005
50,2005-01-06,배,신고,7800.0,무농약,10,개,6000,9800,2005
51,2005-01-06,배,신고,4858.0,저농약,10,개,2380,7500,2005
52,2005-01-06,감귤,감귤,2160.0,유기농,10,개,2160,2160,2005
53,2005-01-06,감귤,감귤,3012.0,무농약,10,개,2470,4000,2005
54,2005-01-06,감귤,감귤,3100.0,저농약,10,개,3000,3200,2005
55,2005-01-06,방울토마토,국산,640.0,유기농,1,kg,480,800,2005
56,2005-01-06,방울토마토,국산,642.0,무농약,1,kg,496,800,2005
